date,return
9/1/1973,0.08289999999999999
10/1/1973,0.0722
11/1/1973,0.0783
12/1/1973,0.0745
1/1/1974,0.07769999999999999
2/1/1974,0.0712
3/1/1974,0.0796
4/1/1974,0.0833
5/1/1974,0.0823
6/1/1974,0.079
7/1/1974,0.0755
8/1/1974,0.08960000000000001
9/1/1974,0.0806
10/1/1974,0.0746
11/1/1974,0.0747
12/1/1974,0.07150000000000001
1/1/1975,0.0626
2/1/1975,0.055
3/1/1975,0.054900000000000004
4/1/1975,0.056100000000000004
5/1/1975,0.052300000000000006
6/1/1975,0.053399999999999996
7/1/1975,0.0613
8/1/1975,0.0644
9/1/1975,0.0642
10/1/1975,0.0596
11/1/1975,0.0548
12/1/1975,0.054400000000000004
1/1/1976,0.0487
2/1/1976,0.048799999999999996
3/1/1976,0.05
4/1/1976,0.048600000000000004
5/1/1976,0.052000000000000005
6/1/1976,0.0541
7/1/1976,0.052300000000000006
8/1/1976,0.051399999999999994
9/1/1976,0.0508
10/1/1976,0.0492
11/1/1976,0.0475
12/1/1976,0.0435
1/1/1977,0.0462
2/1/1977,0.0467
3/1/1977,0.046
4/1/1977,0.0454
5/1/1977,0.0496
6/1/1977,0.050199999999999995
7/1/1977,0.0519
8/1/1977,0.054900000000000004
9/1/1977,0.0581
10/1/1977,0.0616
11/1/1977,0.061
12/1/1977,0.060700000000000004
1/1/1978,0.0644
2/1/1978,0.0645
3/1/1978,0.0629
4/1/1978,0.0629
5/1/1978,0.0641
6/1/1978,0.0673
7/1/1978,0.0701
8/1/1978,0.0708
9/1/1978,0.0785
10/1/1978,0.0799
11/1/1978,0.0864
12/1/1978,0.0908
1/1/1979,0.0935
2/1/1979,0.0932
3/1/1979,0.09480000000000001
4/1/1979,0.0946
5/1/1979,0.09609999999999999
6/1/1979,0.0906
7/1/1979,0.0924
8/1/1979,0.09519999999999999
9/1/1979,0.1026
10/1/1979,0.11699999999999999
11/1/1979,0.11789999999999999
12/1/1979,0.1204
1/1/1980,0.12
2/1/1980,0.1286
3/1/1980,0.152
4/1/1980,0.132
5/1/1980,0.0858
6/1/1980,0.0707
7/1/1980,0.0806
8/1/1980,0.0913
9/1/1980,0.1027
10/1/1980,0.1162
11/1/1980,0.1373
12/1/1980,0.1549
1/1/1981,0.1502
2/1/1981,0.1479
3/1/1981,0.1336
4/1/1981,0.1369
5/1/1981,0.163
6/1/1981,0.14730000000000001
7/1/1981,0.1495
8/1/1981,0.1551
9/1/1981,0.147
10/1/1981,0.1354
11/1/1981,0.10859999999999999
12/1/1981,0.1085
1/1/1982,0.12279999999999999
2/1/1982,0.1348
3/1/1982,0.1268
4/1/1982,0.127
5/1/1982,0.1209
6/1/1982,0.1247
7/1/1982,0.11349999999999999
8/1/1982,0.0868
9/1/1982,0.07919999999999999
10/1/1982,0.0771
11/1/1982,0.08070000000000001
12/1/1982,0.0794
1/1/1983,0.0786
2/1/1983,0.08109999999999999
3/1/1983,0.08349999999999999
4/1/1983,0.0821
5/1/1983,0.0819
6/1/1983,0.08789999999999999
7/1/1983,0.0908
8/1/1983,0.0934
9/1/1983,0.09
10/1/1983,0.0864
11/1/1983,0.0876
12/1/1983,0.09
1/1/1984,0.08900000000000001
2/1/1984,0.0909
3/1/1984,0.09519999999999999
4/1/1984,0.0969
5/1/1984,0.0983
6/1/1984,0.0987
7/1/1984,0.1012
8/1/1984,0.1047
9/1/1984,0.10369999999999999
10/1/1984,0.0974
11/1/1984,0.0861
12/1/1984,0.0806
1/1/1985,0.0776
2/1/1985,0.0827
3/1/1985,0.0852
4/1/1985,0.0795
5/1/1985,0.0748
6/1/1985,0.0695
7/1/1985,0.0708
8/1/1985,0.07139999999999999
9/1/1985,0.071
10/1/1985,0.0716
11/1/1985,0.0724
12/1/1985,0.071
1/1/1986,0.0707
2/1/1986,0.0706
3/1/1986,0.06559999999999999
4/1/1986,0.060599999999999994
5/1/1986,0.061500000000000006
6/1/1986,0.0621
7/1/1986,0.0583
8/1/1986,0.0553
9/1/1986,0.0521
10/1/1986,0.0518
11/1/1986,0.0535
12/1/1986,0.0553
1/1/1987,0.054299999999999994
2/1/1987,0.0559
3/1/1987,0.0559
4/1/1987,0.0564
5/1/1987,0.056600000000000004
6/1/1987,0.0567
7/1/1987,0.056900000000000006
8/1/1987,0.0604
9/1/1987,0.064
10/1/1987,0.0613
11/1/1987,0.056900000000000006
12/1/1987,0.057699999999999994
1/1/1988,0.0581
2/1/1988,0.056600000000000004
3/1/1988,0.057
4/1/1988,0.0591
5/1/1988,0.0626
6/1/1988,0.0646
7/1/1988,0.0673
8/1/1988,0.0706
9/1/1988,0.0724
10/1/1988,0.0735
11/1/1988,0.0776
12/1/1988,0.08070000000000001
1/1/1989,0.0827
2/1/1989,0.08529999999999999
3/1/1989,0.0882
4/1/1989,0.08650000000000001
5/1/1989,0.0843
6/1/1989,0.0815
7/1/1989,0.0788
8/1/1989,0.079
9/1/1989,0.0775
10/1/1989,0.0764
11/1/1989,0.07690000000000001
